Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR2443147	1579.0	65077.0	311566.0	721168.0	619049.0	609464.0	617853.0	602641.0	594067.0	598335.0	605041.0	581434.0	543296.0	604256.0	541326.0	462556.0	521153.0	406784.0	412066.0	414058.0	438932.0	409873.0	380066.0	364175.0	347770.0	344392.0	341888.0	332294.0	340632.0	332998.0	429297.0	344059.0	408359.0	447643.0	1774851.0	84703340.0
SRR2443148	2528.0	105511.0	478687.0	1125937.0	991455.0	1044079.0	908856.0	882497.0	837100.0	843818.0	1014486.0	893672.0	803863.0	754903.0	701592.0	594542.0	618373.0	530726.0	525187.0	523749.0	524470.0	499494.0	509965.0	495855.0	498891.0	505783.0	487003.0	511404.0	517740.0	495254.0	528964.0	510371.0	618735.0	709620.0	2819610.0	92949020.0
SRR2443149	2506.0	96128.0	428510.0	976520.0	882159.0	850888.0	913426.0	811277.0	958951.0	831625.0	800761.0	773590.0	735318.0	713541.0	687772.0	666292.0	650958.0	614263.0	572125.0	540540.0	513915.0	488331.0	470407.0	458247.0	451798.0	450130.0	453023.0	460641.0	464033.0	466124.0	488805.0	482612.0	519721.0	688485.0	3087489.0	86013382.0
SRR2443150	1734.0	69116.0	311121.0	733774.0	702003.0	687017.0	651416.0	656430.0	639380.0	652039.0	658905.0	678421.0	662053.0	780689.0	679278.0	566773.0	562520.0	854980.0	433381.0	473697.0	431485.0	386273.0	378536.0	377279.0	363915.0	371396.0	370409.0	387505.0	579450.0	523243.0	494031.0	482268.0	505729.0	579411.0	1830067.0	74479437.0
SRR2443151	1571.0	64178.0	279245.0	683846.0	583629.0	565780.0	555371.0	555417.0	547722.0	536553.0	573301.0	578507.0	523218.0	540495.0	495394.0	477341.0	487399.0	449216.0	489584.0	388249.0	389467.0	358369.0	327709.0	341860.0	313802.0	326260.0	319080.0	338455.0	354977.0	329523.0	363228.0	493125.0	425254.0	532142.0	2070632.0	68171457.0
SRR2443152	2122.0	84276.0	387181.0	899923.0	777218.0	751363.0	745088.0	695967.0	688284.0	694134.0	746684.0	737675.0	713959.0	713422.0	701173.0	677331.0	702438.0	663478.0	589903.0	526065.0	507755.0	451945.0	406430.0	393020.0	387629.0	388765.0	372647.0	384972.0	385049.0	392067.0	417468.0	408964.0	457876.0	535926.0	2089896.0	79956010.0
SRR2443153	2805.0	110281.0	509981.0	1174278.0	1062041.0	945845.0	928558.0	865475.0	858784.0	834259.0	860727.0	816012.0	770809.0	732480.0	760649.0	631722.0	614754.0	586738.0	563936.0	555550.0	564129.0	541334.0	556277.0	550898.0	541534.0	558250.0	545216.0	558136.0	573702.0	587906.0	777464.0	622508.0	685005.0	921160.0	4472927.0	67980998.0
SRR2443154	2344.0	95677.0	450441.0	1037249.0	841295.0	821045.0	777867.0	709437.0	717096.0	694342.0	716241.0	676551.0	594352.0	573374.0	543079.0	512427.0	511294.0	507172.0	476790.0	488624.0	478936.0	473030.0	474355.0	473823.0	466663.0	478903.0	466072.0	483572.0	497252.0	523322.0	531451.0	538776.0	589039.0	799780.0	4474431.0	53544520.0
SRR2443155	1907.0	73541.0	314798.0	721565.0	644487.0	647010.0	623165.0	590866.0	586585.0	585284.0	617909.0	606936.0	630121.0	620818.0	599351.0	594831.0	628127.0	579228.0	608872.0	1104736.0	913520.0	624730.0	685561.0	528434.0	491980.0	415305.0	403621.0	628917.0	374363.0	566218.0	454078.0	452454.0	448898.0	585229.0	1923504.0	85156085.0
SRR2443156	1797.0	69859.0	314082.0	758783.0	666882.0	652000.0	637894.0	598361.0	596395.0	587288.0	619221.0	608532.0	586397.0	590269.0	546812.0	528118.0	543105.0	504760.0	454330.0	453744.0	420306.0	372900.0	346640.0	332096.0	313028.0	319373.0	323541.0	323100.0	325754.0	318530.0	331582.0	332810.0	373136.0	468129.0	2049311.0	70603603.0
