Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR2443147	79.94928196206413	55.0	33.122564417445844	16.666666666666664	101573338.0
SRR2443148	83.90309637804464	55.0	32.386055872111775	16.666666666666664	117363740.0
SRR2443149	66.6961597672449	51.0	32.35553861385648	16.666666666666664	109464293.0
SRR2443150	71.42358909549843	54.0	32.45322168233746	16.666666666666664	93995161.0
SRR2443151	73.93713338808462	53.0	32.73531969711765	16.666666666666664	84831356.0
SRR2443152	71.12869869191245	52.0	32.40358542356873	16.666666666666664	100434103.0
SRR2443153	62.13261256611477	50.0	31.453327452129066	25.0	95223128.0
SRR2443154	65.66510441243423	51.0	31.304990320561014	16.666666666666664	77040622.0
SRR2443155	64.74890307325296	51.0	32.74996355381098	16.666666666666664	106033034.0
SRR2443156	67.57641774583757	52.0	32.58174743652358	16.666666666666664	87872468.0
SRR2443157	68.76819738654095	53.0	33.04128381396424	16.666666666666664	105666182.0
SRR2443158	71.4910676944827	53.0	32.659273446645294	16.666666666666664	105529841.0
SRR2443159	78.72456469534156	55.0	32.06837761976152	16.666666666666664	93514428.0
SRR2443160	78.84920575416939	55.0	31.518100984772026	16.666666666666664	105051522.0
SRR2443161	71.05078127953747	53.0	31.400791466632946	16.666666666666664	103815621.0
SRR2443162	72.63084820940072	54.0	32.35117833334346	16.666666666666664	106283422.0
SRR2443163	70.98856023114351	53.0	31.445784590334092	25.0	91315763.0
SRR2443164	74.58154169387959	54.0	32.546931289524835	16.666666666666664	83913537.0
SRR2443165	72.8750103873906	56.0	31.96188403196355	16.666666666666664	90158067.0
SRR2443166	68.43933411641214	52.0	32.81675163828652	16.666666666666664	114446251.0
SRR2443167	75.59849078327943	53.0	32.75916850252429	16.666666666666664	88768231.0
SRR2443168	66.84220240360582	51.0	31.850986150461964	16.666666666666664	108722760.0
SRR2443169	65.1223491597161	51.0	32.729216300276654	16.666666666666664	108336787.0
SRR2443170	64.37979107135476	50.0	32.785385029528754	16.666666666666664	105875438.0
SRR2443171	65.80521469854247	51.0	32.71466061320585	16.666666666666664	116371558.0
SRR2443172	70.67036168910212	52.0	31.712240081754906	16.666666666666664	88968360.0
SRR2443173	67.93742497958304	51.0	31.824753092062043	16.666666666666664	94819653.0
SRR2443174	62.14480815297248	49.0	32.12528152879799	25.0	96503005.0
SRR2443175	67.23876447899256	51.0	32.85743978430325	16.666666666666664	102302146.0
SRR2443176	65.79786302951968	53.0	32.03457926403566	16.666666666666664	83784114.0
SRR2443177	63.91552185063068	52.0	31.416375079099623	16.666666666666664	75961172.0
SRR2443178	74.10841596286798	54.0	32.79945562433655	16.666666666666664	90329534.0
SRR2443179	82.1997962690834	56.0	32.210256061871085	16.666666666666664	105218008.0
SRR2443180	78.41981740545555	55.0	32.56819962957834	16.666666666666664	107022898.0
SRR2443181	69.69701400894581	52.0	32.3682336460629	16.666666666666664	107876913.0
SRR2443182	67.42112581617737	52.0	32.62253843704296	16.666666666666664	91505023.0
SRR2443183	65.1467710951236	51.0	32.25889652735259	16.666666666666664	109132329.0
SRR2443184	71.07132020862362	52.0	33.20134175552544	16.666666666666664	106711094.0
SRR2443185	73.37122012569412	53.0	33.10323364254513	16.666666666666664	108571215.0
SRR2443186	63.873804522702045	49.0	31.9760921182276	16.666666666666664	95510218.0
SRR2443187	64.21345627343558	51.0	32.02228695474426	16.666666666666664	90264777.0
SRR2443188	63.42139630447578	49.0	33.11020035865383	16.666666666666664	111001744.0
SRR2443189	62.7285808117489	51.0	32.6528269499325	16.666666666666664	96614357.0
SRR2443190	64.17931249124749	50.0	32.795159497003475	25.0	96076131.0
SRR2443191	68.16606642713222	51.0	32.71918266973527	16.666666666666664	108111401.0
SRR2443192	71.67934051084958	53.0	32.62090963771394	16.666666666666664	105731588.0
SRR2443193	66.8675100194422	52.0	32.74391748860889	16.666666666666664	109427703.0
SRR2443194	71.90785226909748	53.0	31.946373019336928	16.666666666666664	96147852.0
SRR2443195	67.42849023712861	52.0	31.86447319285744	16.666666666666664	97172591.0
SRR2443196	74.01463919740144	54.0	31.64438700825328	16.666666666666664	86158607.0
SRR2443197	75.22686772875547	55.0	32.15204035505623	16.666666666666664	101324007.0
SRR2443198	74.50136817895304	55.0	31.850661600027852	16.666666666666664	82147820.0
SRR2443199	76.59157034754219	55.0	33.185104146212616	16.666666666666664	102582559.0
SRR2443200	78.19989722448048	54.0	33.018083523751876	16.666666666666664	94743924.0
SRR2443201	74.16588283600845	52.0	33.651305418280266	16.666666666666664	94325667.0
SRR2443202	75.33686181277191	53.0	32.53948845270727	16.666666666666664	102887926.0
SRR2443203	72.69937598664904	52.0	33.400871629677596	16.666666666666664	102394173.0
SRR2443204	67.51224151266157	52.0	32.90123009198126	16.666666666666664	102352915.0
SRR2443205	70.31965499358819	52.0	32.78364693773247	16.666666666666664	102183675.0
SRR2443206	70.8463947135988	48.0	32.546822355222076	16.666666666666664	113456766.0
SRR2443207	66.63727949767545	51.0	32.63890809055665	16.666666666666664	104257437.0
SRR2443208	66.06621010230181	51.0	32.60018477600904	16.666666666666664	97849283.0
SRR2443209	70.41630217374046	51.0	33.041069051467375	16.666666666666664	111953450.0
SRR2443210	73.36695051943882	52.0	32.412446376845885	16.666666666666664	115622628.0
SRR2443211	69.33947224204843	51.0	32.59847554672326	16.666666666666664	95149784.0
SRR2443212	72.61519203035829	51.0	32.77834249238928	16.666666666666664	106299711.0
SRR2443213	53.61720580646165	46.0	31.748489052624365	16.666666666666664	90074282.0
SRR2443214	67.75811893228308	52.0	31.63935662510622	16.666666666666664	109934411.0
SRR2443215	72.52201176775036	52.0	32.56265962116285	16.666666666666664	103784014.0
