Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
L1215-Control2-Soni-20190903_S1_L001_R1_001	41.18463470015977	48.0	75.2529953394398	25.0	15209545.0
L1215-Control2-Soni-20190903_S1_L001_R2_001	40.559473112800625	47.0	75.17982727293946	25.0	15209545.0
L1215-Control2-Soni-20190903_S1_L002_R1_001	40.109426614605646	48.0	75.25601874038244	25.0	15247501.0
L1215-Control2-Soni-20190903_S1_L002_R2_001	40.53032300907859	48.0	75.18562628721914	25.0	15247501.0
L1215-Control2-Soni-20190903_S1_L003_R1_001	36.81495289704186	48.0	75.25483014306701	25.0	14672495.0
L1215-Control2-Soni-20190903_S1_L003_R2_001	38.859040974889666	47.0	75.17936922111747	25.0	14672495.0
L1215-Control2-Soni-20190903_S1_L004_R1_001	38.40892929230092	48.0	75.25667560629759	25.0	14673611.0
L1215-Control2-Soni-20190903_S1_L004_R2_001	38.5435650899551	48.0	75.18605870088828	25.0	14673611.0
L1216-Plasma1hr2-Soni-20190903_S2_L001_R1_001	39.81008088893317	48.0	75.46893983250702	16.666666666666664	8958226.0
L1216-Plasma1hr2-Soni-20190903_S2_L001_R2_001	36.04688440893145	48.0	75.42066911462157	16.666666666666664	8958226.0
L1216-Plasma1hr2-Soni-20190903_S2_L002_R1_001	38.22141232633401	48.0	75.47165794657914	16.666666666666664	9091843.0
L1216-Plasma1hr2-Soni-20190903_S2_L002_R2_001	35.228906688326106	48.0	75.42365568785118	16.666666666666664	9091843.0
L1216-Plasma1hr2-Soni-20190903_S2_L003_R1_001	34.91220715730516	48.0	75.4705981990247	16.666666666666664	8637209.0
L1216-Plasma1hr2-Soni-20190903_S2_L003_R2_001	33.44061857487014	48.0	75.41913597320615	16.666666666666664	8637209.0
L1216-Plasma1hr2-Soni-20190903_S2_L004_R1_001	36.89579330524306	48.0	75.47345086286599	16.666666666666664	8733975.0
L1216-Plasma1hr2-Soni-20190903_S2_L004_R2_001	33.51013409590263	48.0	75.424138150155	16.666666666666664	8733975.0
L1217-Plasma24hr1-Soni-20190903_S3_L001_R1_001	30.316047613539183	46.0	75.48224877549485	16.666666666666664	8627771.0
L1217-Plasma24hr1-Soni-20190903_S3_L001_R2_001	27.784095600683315	46.0	75.42189761411146	16.666666666666664	8627771.0
L1217-Plasma24hr1-Soni-20190903_S3_L002_R1_001	28.64487236363719	46.0	75.48588309241195	16.666666666666664	8755069.0
L1217-Plasma24hr1-Soni-20190903_S3_L002_R2_001	27.12717392804069	46.0	75.42460213620247	16.666666666666664	8755069.0
L1217-Plasma24hr1-Soni-20190903_S3_L003_R1_001	25.3376864592949	46.0	75.48393400227529	16.666666666666664	8287316.0
L1217-Plasma24hr1-Soni-20190903_S3_L003_R2_001	24.802726737085564	46.0	75.41962608883262	16.666666666666664	8287316.0
L1217-Plasma24hr1-Soni-20190903_S3_L004_R1_001	27.125635950395434	46.0	75.48736412057366	16.666666666666664	8390987.0
L1217-Plasma24hr1-Soni-20190903_S3_L004_R2_001	25.030549473475077	46.0	75.42640311562872	16.666666666666664	8390987.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L001_R1_001	29.941802522143462	46.0	75.51375669166724	16.666666666666664	7266500.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L001_R2_001	25.26076959340159	46.0	75.45519410995665	16.666666666666664	7266500.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L002_R1_001	28.61412455845003	46.0	75.51634568244037	16.666666666666664	7375648.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L002_R2_001	24.857687262704218	46.0	75.45656693486457	16.666666666666664	7375648.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L003_R1_001	24.72862424545643	46.0	75.51432598964593	16.666666666666664	7009603.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L003_R2_001	22.43232161739553	46.0	75.45160317923853	16.666666666666664	7009603.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L004_R1_001	26.49383468535845	46.0	75.51629866055333	16.666666666666664	7064783.0
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L004_R2_001	22.665816974426818	46.0	75.45586651422981	16.666666666666664	7064783.0
Undetermined_S0_L001_R1_001	22.62572075833839	45.0	75.44925887686706	33.33333333333333	1228136.0
Undetermined_S0_L001_R2_001	20.344112505621368	46.0	75.35509422409244	25.0	1228136.0
Undetermined_S0_L002_R1_001	22.99726400388073	46.0	75.4556497518041	33.33333333333333	1392247.0
Undetermined_S0_L002_R2_001	21.311518010093238	47.0	75.40616068844106	33.33333333333333	1392247.0
Undetermined_S0_L003_R1_001	23.185696118448277	49.0	75.49221951858645	33.33333333333333	1335650.0
Undetermined_S0_L003_R2_001	20.874770696017848	50.0	75.45442818103545	33.33333333333333	1335650.0
Undetermined_S0_L004_R1_001	25.922404311299147	50.0	75.49981158145961	33.33333333333333	1496668.0
Undetermined_S0_L004_R2_001	22.801960147266115	51.0	75.46419847287441	25.0	1496668.0
