"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction"
"ENSG00000138061",2800.719724095,0.518716046305219,0.0257367084249896,20.1547158921675,2.4465908705267e-90,2.4487000005875e-88,"CYP1B1",1545,"UP"
"ENSG00000189283",658.63222184687,1.02497831449644,0.0511515296867502,20.0380774685207,2.56484508559013e-89,2.5023404574539e-87,"FHIT",2272,"UP"
"ENSG00000124209",1868.30962860824,0.577761997745409,0.0297680915239398,19.4087685225224,6.50679157905211e-84,5.51414965202883e-82,"RAB22A",57403,"UP"
"ENSG00000118816",1739.89352531437,0.594076234937046,0.0316171723373051,18.7896700122071,9.17480824939433e-79,7.19726511996407e-77,"CCNI",10983,"UP"
"ENSG00000163811",1340.98957939174,-0.716202290432858,0.0400990284223598,-17.8608389931336,2.3803425889043e-71,1.61612733667713e-69,"WDR43",23160,"DOWN"
"ENSG00000064601",1493.23594646387,0.597083223692355,0.0335282276356178,17.808374190888,6.08518458676715e-71,4.06028695703256e-69,"CTSA",5476,"UP"
"ENSG00000186951",505.752962584778,0.963948665081742,0.0548212497159169,17.5834857847443,3.2967103620771e-69,2.09151952479318e-67,"PPARA",5465,"UP"
"ENSG00000196914",1538.53980494142,0.579765178546371,0.033089965635951,17.5208758124692,9.92851534528558e-69,6.23081422479814e-67,"ARHGEF12",23365,"UP"
"ENSG00000136478",631.16856723674,0.888010553322229,0.0507751942754717,17.4890626415822,1.73588981965233e-68,1.07200429820019e-66,"TEX2",55852,"UP"
"ENSG00000135677",2281.85203871726,0.489582831701946,0.0281115800257604,17.4156995534691,6.27176101947232e-68,3.81231127937559e-66,"GNS",2799,"UP"
"ENSG00000123983",952.008566728719,0.733530060513839,0.0422234048930128,17.3725937633993,1.33072323839814e-67,7.96376123598065e-66,"ACSL3",2181,"UP"
"ENSG00000172927",366.942565537925,-1.3253741859161,0.0794155520759054,-16.6891012058861,1.57321349654953e-62,8.49535288136748e-61,"MYEOV",26579,"DOWN"
"ENSG00000166226",2669.17231937892,-0.452582900865405,0.0274866505110857,-16.4655530030068,6.4867128024982e-61,3.37716303304951e-59,"CCT2",10576,"DOWN"
"ENSG00000141458",2723.62017239132,0.403456495759033,0.024982892473593,16.1493108208142,1.1483755731988e-58,5.39783012341621e-57,"NPC1",4864,"UP"
"ENSG00000134250",8663.21583004221,0.235884073227495,0.0150963238006356,15.6252658821192,4.89873918439498e-55,2.1381339071739e-53,"NOTCH2",4853,"UP"
"ENSG00000108091",1130.91794038364,0.591178473915268,0.0378836557168612,15.6051062847176,6.7197729999928e-55,2.92196870898563e-53,"CCDC6",8030,"UP"
"ENSG00000135829",1857.98733306601,-0.494071357781631,0.0317138603759606,-15.5790355360252,1.01068145860336e-54,4.3783625874571e-53,"DHX9",1660,"DOWN"
"ENSG00000069869",2202.26253092482,-0.475659400757555,0.0308413320807839,-15.4227904135801,1.15025007965693e-53,4.83855196551339e-52,"NEDD4",4734,"DOWN"
"ENSG00000177628",1025.40645350241,0.60885880885224,0.0395647714132499,15.388912588241,1.9426965804351e-53,8.05525260673269e-52,"GBA",2629,"UP"
"ENSG00000162434",2078.00955628815,0.439721921932905,0.0285950377519418,15.377560461624,2.31507316558486e-53,9.56512436029902e-52,"JAK1",3716,"UP"
"ENSG00000185129",478.184568146523,0.86734682677483,0.0574675659462873,15.0928060462054,1.80595623067845e-51,7.08349724262728e-50,"PURA",5813,"UP"
"ENSG00000099917",868.929225140479,-0.672850716757737,0.0452680757100126,-14.8636916017376,5.67120503965052e-50,2.17302608945025e-48,"MED15",51586,"DOWN"
"ENSG00000264364",534.780444230519,0.800581873684861,0.0540469389476252,14.8127144529069,1.21243511688491e-49,4.63038542994533e-48,"DYNLL2",140735,"UP"
"ENSG00000108344",1332.02062259697,-0.562156432817986,0.0383557885069251,-14.656364911296,1.2266659456353e-48,4.56461270154673e-47,"PSMD3",5709,"DOWN"
"ENSG00000023516",1734.41721620067,0.462908475809416,0.0317921136315261,14.5604812933979,5.01038030788722e-48,1.80653774455188e-46,"AKAP11",11215,"UP"
"ENSG00000166173",473.002931874865,0.845229437167225,0.0580495217987244,14.5604892336219,5.00979836689971e-48,1.80653774455188e-46,"LARP6",55323,"UP"
"ENSG00000141429",1055.32669011325,0.587321725704189,0.0404918286668195,14.5046974918537,1.13135137901842e-47,4.04153523397043e-46,"GALNT1",2589,"UP"
"ENSG00000048707",1104.89091768835,0.551154626867103,0.0381876658348146,14.4327917095323,3.21787945043277e-47,1.13901159815623e-45,"VPS13D",55187,"UP"
