"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction"
"ENSG00000130766",1213.64326846351,0.17099310500567,0.0344383494972297,4.9651945433513,6.8632236250681e-07,2.63847769162386e-06,"SESN2",83667,"UP"
"ENSG00000121904",3221.49907014873,-0.0778420833253042,0.0280262893775101,-2.77746662345424,0.00547844663164255,0.011067472662845,"CSMD2",114784,"DOWN"
"ENSG00000116717",608.637326599516,-0.171978090688076,0.0450999932752326,-3.813262002913,0.000137144589366033,0.000374823136191066,"GADD45A",1647,"DOWN"
"ENSG00000162669",61366.4982157838,-0.900909520465517,0.0172359665269,-52.2691616428634,0,0,"HFM1",164045,"DOWN"
"ENSG00000183598",705.637370223978,-0.633412512552304,0.100126365241345,-6.32613109469745,2.51384270893953e-10,1.45419600651659e-09,"HIST2H3D",653604,"DOWN"
"ENSG00000270882",2277.83531281436,-0.117543826066076,0.0453052638428718,-2.59448496920232,0.00947327556716024,0.0181973410547205,"HIST2H4A",8370,"DOWN"
"ENSG00000203811",1728.06557418088,-0.805602590274993,0.0554228104088805,-14.5355781190394,7.21022333261397e-48,2.59166231862688e-46,"HIST2H3C",126961,"DOWN"
"ENSG00000203852",1728.06540830889,-0.805602440772101,0.0554266733762255,-14.5345623632114,7.31797203506944e-48,2.62227331256655e-46,"HIST2H3A",333932,"DOWN"
"ENSG00000270276",2278.14686548652,-0.116148376022122,0.0452864220666775,-2.56475055262945,0.0103250003900691,0.0196543286861614,"HIST2H4B",554313,"DOWN"
"ENSG00000184260",1380.08440333847,0.310243010184277,0.0513836024818614,6.03778238969901,1.56246574993854e-09,8.31738989307036e-09,"HIST2H2AC",8338,"UP"
"ENSG00000143322",2825.48489243559,-0.814796034618966,0.0242655671671024,-33.5782810683119,3.48156687963019e-247,1.49707375824098e-244,"ABL2",27,"DOWN"
"ENSG00000066279",1573.49144105935,-0.551906265090793,0.0640128798722211,-8.62180027195272,6.59095918736443e-18,7.23945469870398e-17,"ASPM",259266,"DOWN"
"ENSG00000117724",2661.30391224338,-0.696530698906704,0.0389539446152024,-17.8808771688521,1.66201490651858e-71,1.13505841556945e-69,"CENPF",1063,"DOWN"
"ENSG00000171848",1571.88507443997,-0.943917826631712,0.0450926620220716,-20.9328477030185,2.68939788438462e-97,3.0611675919319e-95,"RRM2",6241,"DOWN"
"ENSG00000169679",676.612842153035,-0.390996494279422,0.0790507918701818,-4.94614266383974,7.56984901718733e-07,2.8947940411576e-06,"BUB1",699,"DOWN"
