Sample	Unique Reads	Duplicate Reads
SRR2443147	20366184.0	81207154.0
SRR2443148	18891929.0	98471811.0
SRR2443149	36455814.0	73008479.0
SRR2443150	26860444.0	67134717.0
SRR2443151	22109484.0	62721872.0
SRR2443152	28996633.0	71437470.0
SRR2443153	36058511.0	59164617.0
SRR2443154	26451818.0	50588804.0
SRR2443155	37377808.0	68655226.0
SRR2443156	28491402.0	59381066.0
SRR2443157	33001454.0	72664728.0
SRR2443158	30085431.0	75444410.0
SRR2443159	19895602.0	73618826.0
SRR2443160	22219232.0	82832290.0
SRR2443161	30053812.0	73761809.0
SRR2443162	29088872.0	77194550.0
SRR2443163	26492018.0	64823745.0
SRR2443164	21329528.0	62584009.0
SRR2443165	24455367.0	65702700.0
SRR2443166	36119999.0	78326252.0
SRR2443167	21660789.0	67107442.0
SRR2443168	36050073.0	72672687.0
SRR2443169	37785327.0	70551460.0
SRR2443170	37713053.0	68162385.0
SRR2443171	39793005.0	76578553.0
SRR2443172	26094099.0	62874261.0
SRR2443173	30401623.0	64418030.0
SRR2443174	36531398.0	59971607.0
SRR2443175	33515447.0	68786699.0
SRR2443176	28655958.0	55128156.0
SRR2443177	27410193.0	48550979.0
SRR2443178	23387748.0	66941786.0
SRR2443179	18729020.0	86488988.0
SRR2443180	23095737.0	83927161.0
SRR2443181	32689926.0	75186987.0
SRR2443182	29811307.0	61693716.0
SRR2443183	38036141.0	71096188.0
SRR2443184	30870111.0	75840983.0
SRR2443185	28911190.0	79660025.0
SRR2443186	34504209.0	61006009.0
SRR2443187	32302644.0	57962133.0
SRR2443188	40602889.0	70398855.0
SRR2443189	36009542.0	60604815.0
SRR2443190	34415131.0	61661000.0
SRR2443191	34416112.0	73695289.0
SRR2443192	29943884.0	75787704.0
SRR2443193	36256123.0	73171580.0
SRR2443194	27009997.0	69137855.0
SRR2443195	31650580.0	65522011.0
SRR2443196	22388625.0	63769982.0
SRR2443197	25101131.0	76222876.0
SRR2443198	20946571.0	61201249.0
SRR2443199	24012967.0	78569592.0
SRR2443200	20654273.0	74089651.0
SRR2443201	24368204.0	69957463.0
SRR2443202	25375392.0	77512534.0
SRR2443203	27954249.0	74439924.0
SRR2443204	33252168.0	69100747.0
SRR2443205	30328468.0	71855207.0
SRR2443206	33076738.0	80380028.0
SRR2443207	34783118.0	69474319.0
SRR2443208	33203971.0	64645312.0
SRR2443209	33119971.0	78833479.0
SRR2443210	30793832.0	84828796.0
SRR2443211	29173426.0	65976358.0
SRR2443212	29109972.0	77189739.0
SRR2443213	41778969.0	48295313.0
SRR2443214	35444923.0	74489488.0
SRR2443215	28517760.0	75266254.0
SRR2443216	31425684.0	68588727.0
SRR2443217	27611078.0	59181546.0
SRR2443218	21375778.0	85881637.0
SRR2443219	24489634.0	79257444.0
SRR2443220	23597011.0	69981094.0
SRR2443221	27865599.0	74933016.0
SRR2443222	26352965.0	76373228.0
SRR2443223	31063791.0	86949591.0
SRR2443224	32672472.0	63177657.0
SRR2443225	27092875.0	74541793.0
SRR2443226	31478319.0	60061293.0
SRR2443227	38544891.0	74620592.0
SRR2443228	29444800.0	80477895.0
SRR2443229	34498677.0	63985597.0
SRR2443230	40020776.0	54017121.0
SRR2443231	37939380.0	54341513.0
SRR2443232	39430632.0	68485954.0
SRR2443233	38553863.0	65956643.0
SRR2443234	42304958.0	67638892.0
SRR2443235	36301406.0	64694255.0
SRR2443236	35654271.0	57761798.0
SRR2443237	31358374.0	89517856.0
SRR2443238	38349620.0	80082802.0
SRR2443239	27664504.0	66548335.0
SRR2443240	33208461.0	70505167.0
SRR2443241	31614838.0	65218803.0
SRR2443242	31287687.0	71806311.0
SRR2443243	32968285.0	71622919.0
SRR2443244	28584518.0	86483637.0
SRR2443245	34254435.0	76806448.0
SRR2443246	30870925.0	53444477.0
SRR2443247	33784362.0	64593993.0
SRR2443248	27209209.0	75102976.0
SRR2443249	23852608.0	79024774.0
SRR2443250	20747467.0	68237160.0
SRR2443251	23971950.0	67658337.0
SRR2443252	24740486.0	54975540.0
SRR2443253	28639215.0	135855169.0
SRR2443254	22529085.0	64439988.0
SRR2443255	25752447.0	66108646.0
SRR2443256	28300351.0	77720650.0
SRR2443257	20813939.0	68978160.0
SRR2443258	33370695.0	76227348.0
SRR2443259	29027865.0	69493980.0
SRR2443260	29475544.0	72335026.0
SRR2443261	26921760.0	85891445.0
SRR2443262	26468444.0	95807954.0
SRR2443263	27609002.0	73826991.0
