Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR2443147	SRR2443147_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	101573338.0	0.0	1-36	55.0	20.050718037935873	33.122564417445844	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443148	SRR2443148_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	117363740.0	0.0	1-36	55.0	16.096903621955367	32.386055872111775	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443149	SRR2443149_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	109464293.0	0.0	1-36	51.0	33.30384023275511	32.35553861385648	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443150	SRR2443150_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	93995161.0	0.0	1-36	54.0	28.57641090450157	32.45322168233746	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443151	SRR2443151_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	84831356.0	0.0	1-36	53.0	26.062866611915382	32.73531969711765	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443152	SRR2443152_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	100434103.0	0.0	1-36	52.0	28.87130130808755	32.40358542356873	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443153	SRR2443153_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	95223128.0	0.0	1-36	50.0	37.86738743388523	31.453327452129066	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443154	SRR2443154_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	77040622.0	0.0	1-36	51.0	34.334895587565775	31.304990320561014	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443155	SRR2443155_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	106033034.0	0.0	1-36	51.0	35.25109692674704	32.74996355381098	pass	pass	warn	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443156	SRR2443156_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	87872468.0	0.0	1-36	52.0	32.42358225416242	32.58174743652358	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443157	SRR2443157_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	105666182.0	0.0	1-36	53.0	31.23180261345906	33.04128381396424	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443158	SRR2443158_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	105529841.0	0.0	1-36	53.0	28.5089323055173	32.659273446645294	pass	pass	warn	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443159	SRR2443159_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	93514428.0	0.0	1-36	55.0	21.275435304658444	32.06837761976152	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443160	SRR2443160_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	105051522.0	0.0	1-36	55.0	21.15079424583061	31.518100984772026	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443161	SRR2443161_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	103815621.0	0.0	1-36	53.0	28.94921872046252	31.400791466632946	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443162	SRR2443162_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	106283422.0	0.0	1-36	54.0	27.369151790599272	32.35117833334346	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443163	SRR2443163_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	91315763.0	0.0	1-36	53.0	29.011439768856484	31.445784590334092	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443164	SRR2443164_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	83913537.0	0.0	1-36	54.0	25.418458306120407	32.546931289524835	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443165	SRR2443165_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	90158067.0	0.0	1-36	56.0	27.12498961260939	31.96188403196355	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443166	SRR2443166_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	114446251.0	0.0	1-36	52.0	31.560665883587852	32.81675163828652	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443167	SRR2443167_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	88768231.0	0.0	1-36	53.0	24.40150921672057	32.75916850252429	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass	fail
SRR2443168	SRR2443168_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	108722760.0	0.0	1-36	51.0	33.157797596394175	31.850986150461964	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
SRR2443169	SRR2443169_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	108336787.0	0.0	1-36	51.0	34.87765084028391	32.729216300276654	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass	fail
